iter	Passed	Remaining
484	672	714
485	673	712
486	674	710
487	674	708
488	675	706
489	676	703
490	677	701
491	677	699
492	678	697
493	679	695
494	679	693
495	680	691
496	681	689
497	682	687
498	683	685
499	683	683
500	684	681
501	685	679
502	685	677
503	686	675
504	687	673
505	688	671
506	688	669
507	689	667
508	690	665
509	691	664
510	691	662
511	692	660
512	693	658
513	693	656
514	694	654
515	695	652
516	696	650
517	697	649
518	698	647
519	698	645
520	700	643
521	701	642
522	702	640
523	704	639
524	705	638
525	707	637
526	708	636
527	709	634
528	711	633
529	713	632
530	714	631
531	715	629
532	716	628
533	718	626
534	719	625
535	720	624
536	722	622
537	723	621
538	724	619
539	726	618
540	727	617
541	728	615
542	730	614
543	731	613
544	732	611
545	734	610
546	735	609
547	736	607
548	737	606
549	739	604
550	740	603
551	742	602
552	743	601
553	744	599
554	747	599
555	749	598
556	751	597
557	752	596
558	753	594
559	754	593
560	756	592
561	758	590
562	759	589
563	760	588
564	762	586
565	763	585
566	764	584
567	765	582
568	767	581
569	768	579
570	769	578
571	772	577
572	774	576
573	775	575
574	777	574
575	778	572
576	779	571
577	781	570
578	782	569
579	783	567
580	785	566
581	788	565
582	789	564
583	790	563
584	791	561
585	793	560
586	794	558
587	795	557
588	797	556
589	798	554
590	799	553
591	801	552
592	803	551
593	804	549
594	805	548
595	806	546
596	808	545
597	809	544
598	810	542
599	811	541
600	812	539
601	814	538
602	816	537
603	817	536
604	818	534
605	820	533
606	821	531
607	822	530
608	823	528
609	825	527
610	826	526
611	827	524
612	829	523
613	832	523
614	833	521
615	834	520
616	836	518
617	837	517
618	838	516
619	839	514
620	840	513
621	842	511
622	844	510
623	846	510
624	847	508
625	849	507
626	852	507
627	853	505
628	857	505
629	858	504
630	860	503
631	862	502
632	863	500
633	865	499
634	866	498
635	868	497
636	869	495
637	872	494
638	873	493
639	877	493
640	878	492
641	879	490
642	881	489
643	883	488
644	886	487
645	888	486
646	889	485
647	895	486
648	896	485
649	899	484
650	901	483
651	903	482
652	905	480
653	907	480
654	909	478
655	910	477
656	912	476
657	915	475
658	916	474
659	919	473
660	922	472
661	925	472
662	931	473
663	935	473
664	939	473
665	941	472
666	944	471
667	946	470
668	947	469
669	949	467
670	953	467
671	955	466
672	958	465
673	960	464
674	961	463
675	963	461
676	966	461
677	968	459
678	970	458
679	971	457
680	973	456
681	975	454
682	977	453
683	978	452
684	981	451
685	983	450
686	986	449
687	989	448
688	991	447
689	993	446
690	995	445
691	997	444
692	999	442
693	1001	441
694	1002	440
695	1004	438
696	1005	437
697	1006	435
698	1008	434
699	1010	432
700	1014	432
701	1017	432
702	1019	430
703	1021	429
704	1022	428
705	1025	427
706	1027	425
707	1028	424
708	1030	422
709	1031	421
710	1033	419
711	1034	418
712	1035	416
713	1037	415
714	1040	414
715	1042	413
716	1044	412
717	1046	411
718	1048	409
719	1049	408
720	1050	406
721	1052	405
722	1055	404
723	1057	402
724	1058	401
725	1060	400
726	1061	398
727	1063	397
728	1064	395
729	1066	394
730	1068	393
731	1070	391
732	1071	390
733	1073	388
734	1074	387
735	1076	385
736	1077	384
737	1079	383
738	1080	381
739	1082	380
740	1084	378
741	1085	377
742	1087	376
743	1088	374
744	1090	373
745	1091	371
746	1093	370
747	1096	369
748	1098	367
749	1100	366
750	1101	365
751	1103	363
752	1104	362
753	1106	360
754	1108	359
755	1109	358
756	1111	356
757	1112	355
758	1115	354
759	1116	352
760	1117	351
761	1119	349
762	1120	348
763	1122	346
764	1123	345
765	1125	343
766	1126	342
767	1127	340
768	1129	339
769	1131	337
770	1132	336
771	1134	334
772	1137	333
773	1138	332
774	1140	331
775	1142	329
776	1145	328
777	1146	327
778	1148	325
779	1149	324
780	1151	322
781	1152	321
782	1154	319
783	1155	318
784	1157	316
785	1159	315
786	1161	314
787	1163	312
788	1165	311
789	1166	310
790	1168	308
791	1169	307
792	1171	305
793	1173	304
794	1175	303
795	1176	301
796	1178	300
797	1179	298
798	1181	297
799	1182	295
800	1183	294
801	1185	292
802	1186	291
803	1187	289
804	1189	288
805	1190	286
806	1191	284
807	1192	283
808	1194	282
809	1195	280
810	1197	278
811	1198	277
812	1199	275
813	1200	274
814	1201	272
815	1203	271
816	1205	270
817	1206	268
818	1207	266
819	1209	265
820	1210	263
821	1211	262
822	1213	260
823	1214	259
824	1215	257
825	1216	256
826	1218	254
827	1220	253
828	1222	252
829	1224	250
830	1225	249
831	1226	247
832	1227	246
833	1229	244
834	1230	243
835	1231	241
836	1233	240
837	1234	238
838	1235	237
839	1237	235
840	1238	234
841	1239	232
842	1240	231
843	1242	229
844	1243	228
845	1244	226
846	1245	225
847	1248	223
848	1249	222
849	1250	220
850	1252	219
851	1253	217
852	1254	216
853	1255	214
854	1256	213
855	1258	211
856	1259	210
857	1261	208
858	1262	207
859	1263	205
860	1265	204
861	1266	202
862	1268	201
863	1269	199
864	1270	198
865	1271	196
866	1272	195
867	1274	193
868	1276	192
869	1277	190
870	1279	189
871	1280	187
872	1281	186
873	1283	184
874	1284	183
875	1285	181
876	1287	180
877	1288	179
878	1289	177
879	1291	176
880	1293	174
881	1294	173
882	1295	171
883	1296	170
884	1298	168
885	1299	167
886	1301	165
887	1302	164
888	1303	162
889	1305	161
890	1306	159
891	1307	158
892	1309	156
893	1310	155
894	1312	153
895	1313	152
896	1314	150
897	1315	149
898	1317	147
899	1318	146
900	1319	145
901	1321	143
902	1322	142
903	1323	140
904	1324	139
905	1326	137
906	1327	136
907	1329	134
908	1330	133
909	1332	131
910	1334	130
911	1335	128
912	1336	127
913	1337	125
914	1339	124
915	1340	122
916	1342	121
917	1344	120
918	1345	118
919	1346	117
920	1347	115
921	1348	114
922	1350	112
923	1352	111
924	1353	109
925	1354	108
926	1356	106
927	1358	105
928	1359	103
929	1361	102
930	1362	100
931	1363	99
932	1365	98
933	1367	96
934	1368	95
935	1370	93
936	1371	92
937	1372	90
938	1374	89
939	1376	87
940	1377	86
941	1378	84
942	1380	83
943	1384	82
944	1386	80
945	1387	79
946	1388	77
947	1390	76
948	1391	74
949	1393	73
950	1396	71
951	1399	70
952	1400	69
953	1402	67
954	1403	66
955	1405	64
956	1406	63
957	1407	61
958	1411	60
959	1413	58
960	1414	57
961	1416	55
962	1417	54
963	1419	53
964	1420	51
965	1421	50
966	1423	48
967	1425	47
968	1427	45
969	1428	44
970	1429	42
971	1430	41
972	1432	39
973	1433	38
974	1434	36
975	1435	35
976	1436	33
977	1438	32
978	1440	30
979	1441	29
980	1442	27
981	1444	26
982	1445	24
983	1446	23
984	1447	22
985	1448	20
986	1450	19
987	1451	17
988	1452	16
989	1455	14
990	1457	13
991	1458	11
992	1459	10
993	1461	8
994	1462	7
995	1463	5
996	1464	4
997	1466	2
998	1467	1
999	1469	0
